datetime,load_kw,pv_kw,charge_kw,discharge_kw,soc_kwh,net_with_kw,net_without_kw
2025-07-12 21:00:00,4.02,0.0,0.0,0.0,318.006981792847,4.02,4.02
2025-07-12 22:00:00,3.54,0.0,0.0,0.0,318.006981792847,3.54,3.54
2025-07-12 23:00:00,3.48,0.0,0.0,0.0,318.006981792847,3.48,3.48
2025-07-13 00:00:00,3.66,0.0,0.0,0.0,318.006981792847,3.66,3.66
2025-07-13 01:00:00,3.3,0.0,0.0,0.0,318.006981792847,3.3,3.3
2025-07-13 02:00:00,3.66,0.0,0.0,0.0,318.006981792847,3.66,3.66
2025-07-13 03:00:00,3.48,0.0,0.0,0.0,318.006981792847,3.48,3.48
2025-07-13 04:00:00,3.18,0.1662994510134083,0.0,0.0,318.006981792847,3.013700548986592,3.013700548986592
2025-07-13 05:00:00,3.3,10.487940058200488,0.0,0.0,318.006981792847,-7.187940058200488,-7.187940058200488
2025-07-13 06:00:00,2.94,21.173688721574745,0.0,0.0,318.006981792847,-18.233688721574744,-18.233688721574744
2025-07-13 07:00:00,3.48,31.495329328761827,0.0,0.0,318.006981792847,-28.015329328761826,-28.015329328761826
2025-07-13 08:00:00,3.12,40.74945912969954,0.0,0.0,318.006981792847,-37.62945912969954,-37.62945912969954
2025-07-13 09:00:00,3.36,48.305424471626566,0.0,0.0,318.006981792847,-44.945424471626566,-44.945424471626566
2025-07-13 10:00:00,3.72,53.64829880331368,0.0,0.0,318.006981792847,-49.92829880331368,-49.92829880331368
2025-07-13 11:00:00,3.78,56.41397406857374,0.0,0.0,318.006981792847,-52.633974068573735,-52.633974068573735
2025-07-13 12:00:00,4.02,56.41397406857374,0.0,0.0,318.006981792847,-52.39397406857374,-52.39397406857374
2025-07-13 13:00:00,3.96,53.64829880331368,0.0,0.0,318.006981792847,-49.68829880331368,-49.68829880331368
2025-07-13 14:00:00,4.44,48.305424471626566,0.0,0.0,318.006981792847,-43.86542447162657,-43.86542447162657
